make,price,mileage,gear,fuel,hp
"BMW 118 
i 1.Hand DigiCockpit Sitzheizung Spurhalteass","€ 24,400.-","21,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB Tempomat PDC","€ 20,890.-","11,611 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i ADVANTAGE WLAN NAVI GRA SHZ PDC ALU","€ 21,490.-","27,109 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Live Cockpit Navi LED AHK LM","€ 23,780.-","8,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage Navi PDC Wireless Charging","€ 20,990.-","17,760 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 22,990.-","23,559 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 19,990.-","28,806 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 22,490.-","19,851 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Advantage Navi Bluetooth PDC MP3 Schn. Klim","€ 19,920.-","28,430 km",Manual,Gasoline,103 kW (140 hp)
"BMW 116 
i Hatch Advantage DAB LED Tempomat Shz PDC","€ 20,990.-","14,477 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Hatch DAB Shz PDC","€ 21,990.-","15,044 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
116i Advantage LED Klima SitzH PDC v+h Allwetter","€ 17,450.-","16,500 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Advantage Lim. LED Navi DAB W+S","€ 24,900.-","7,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
Baureihe 1 Lim. 116 i Advantage","€ 21,900.-","21,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
Baureihe 1 Lim wenig km TOP Zustand","€ 14,999.-","10,800 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
118i ADVANTAGE LEDER NAVI GSD PDC ALU SHZ 1.HAND","€ 18,989.-","20,800 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-Türer *FACELIFT*LED*NAVI* BESTELLAKTION*","€ 26,670.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i LED+Navi-LiveC-Prof+AHK+Sitzh+DAB+PDC","€ 29,500.-",1 km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i *SUMMER-BOOST* NAVI. LED. PDC.","€ 26,679.-",6 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klimaaut.","€ 29,250.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage / LED / PDC /","€ 26,666.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i *PDC*Tempomat*kurzfr.verfügbar*DAB*","€ 26,950.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i *AKTION AUGUST - OHNE ANZAHLUNG*","€ 27,149.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage KLIMA PDC SHZ NAVI W-LAN LED","€ 27,190.-",10 km,Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i (DAB WLAN Klima SHZ PDC)","€ 28,420.-",0 km,Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i (DAB WLAN Klima SHZ PDC)","€ 28,420.-",0 km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
Advantage Navi 16 LMR SZH LED PDC Tempomat","€ 29,850.-","3,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Bestellaktion inkl. 18'' Räder","€ 24,900.-",0 km,Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i DAB WLAN Klimaautomatik, Sitzheizung, Multifun","€ 27,970.-","6,330 km",Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i DAB WLAN Klimaautomatik, Sitzheizung, Navigati","€ 27,970.-","2,676 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Sport Line 17'' LED NAVI LCP PDC SHZ KoZg DAB TE","€ 25,990.-","6,120 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Navi LED DAB Advantage WLAN Tempomat Shz","€ 27,498.-","12,519 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
116i Sport Line M Sport+KOM+NAV+LED+TEMP+Sitz+PDC","€ 29,500.-",100 km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Sport Line,Navi,LED,Komfortz. NP41000€","€ 26,300.-","14,400 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport LED Tempomat Shz PDC","€ 26,330.-","9,800 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sportpaket Navi Sitzhzg PDC LED Tempomat","€ 25,950.-","9,389 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sportpaket LED WLAN Navi Tempomat BT SHZ","€ 23,900.-","17,300 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klimaaut.","€ 27,690.-","25,236 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Advantage / 5-türig","€ 26,890.-",10 km,Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Sport Line|Navi|DAB|WLAN|Komfortzugang|","€ 25,490.-","14,200 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
116i Advantage LED+NAVI+TEMP+SITZHZ+PDC+LIVE-Cock","€ 26,500.-","8,000 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
118 i Advantage Leder LED Business 1.Hd","€ 22,490.-","24,390 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage EU6d LED Navi Keyless PDCv+h LED-hinte","€ 28,990.-","8,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Klima, LED, 3 Jahre/ 200.000 Gewährleistung","€ 27,390.-",- km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage AHK, Komfortzugang, Rückfahrkam.","€ 28,960.-","5,827 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-Türer/ AHK/Lenkradheiz./LED/Komfortzugang","€ 24,400.-","9,700 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klimaaut.","€ 27,890.-","23,764 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i M Sport+NUR-9.000-KM+LED-SW+DAB+1-HAND+EU6+","€ 26,990.-","9,600 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sportpaket Panorama HUD LED DAB Leder","€ 27,990.-","12,996 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage, LED, Live Cockpit Profess., PDC","€ 25,800.-","6,900 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat AHK Shz","€ 25,880.-","8,796 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport PDC LED Navi HiFi","€ 28,990.-","11,100 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport LivProf HuD LED H/K","€ 28,450.-","12,524 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i SPORT LINE *1.HAND*NAVI*PDC*LM 17''*","€ 28,750.-","11,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage LED WLAN Tempomat Parkassistent","€ 24,980.-","13,979 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line Navi+LED+DAB+Wireless+SHZ WLAN","€ 25,220.-","13,867 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage EU6d AHK-abnehmbar AHK Navi digi","€ 26,450.-","13,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport,LED,Navi,Wireless,HiFi,17""LM,PDC","€ 25,980.-","20,930 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i Advantage Navi Prof LED DAB Ambienes Licht","€ 22,780.-","24,300 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i AHK LED PDC SHZ M Sport Tempomat AHK schw.","€ 26,080.-","11,926 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i M Sport +NAVI+HEADUP+LEDER+LIVECOCKPIT+LED+","€ 26,590.-","24,160 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klimaaut.","€ 25,888.-","2,850 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Navi+LED+DAB+PDC+SHZ+WLAN Advantage Shz","€ 25,690.-","9,154 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line PDC SHZ KAMERA NAVI W-LAN LED","€ 25,590.-","10,239 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line Klimaaut. Sportsitze PDC","€ 25,730.-","10,784 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Sport Line HK/el.Sitze/RFK 2 JAHRE GARANTIE","€ 26,879.-","21,041 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport LC Plus LED HiFi WLAN Wireless.","€ 26,680.-","23,400 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sportpaket Navi PDC HeadUp LED Sitzhzg.","€ 29,920.-","5,121 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport LED WLAN Pano.Dach Komfortzg. Shz","€ 25,990.-","19,209 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport HiFi DAB LED WLAN Komfortzg. Shz","€ 29,950.-","12,592 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Advantage LED Navi PDC WLAN ALU Bluetooth","€ 28,900.-",0 km,Manual,Gasoline,80 kW (109 hp)
"BMW 116 
i Advantage LED+NAVI-LIVE+DAB+PDC+TEMP+SITZH+","€ 25,200.-","13,500 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i Sport Line+LED+Navi+DAB+Sportsitze+PDC+","€ 29,995.-","1,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport,LCPlus,LED,PDCv+h,DAB,HIFI,Shz.","€ 23,799.-","24,409 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Limo. Sitzhz LED PDC AG+ DAB NP:40.000€","€ 24,390.-","8,000 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Sport Line Navi LED Tempomat PDC Shz WLAN","€ 25,900.-","23,500 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Head-Up DAB LED WLAN Tempomat","€ 26,890.-","9,570 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i *9tkm* Navi Tempomat LED Sitzheizung","€ 27,880.-","9,400 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
Baureihe 1 Lim. 118 i Advantage Navi,PDC,USB","€ 24,950.-","24,800 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport DAB+Business+Comfortpaket","€ 25,734.-","17,855 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i 5-Türer Luxury Line LED Hifi Komfortzugang","€ 25,559.-","25,358 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i ADVANTAGE, Touchscreen, Servolenkung, Regensenso","€ 28,990.-","18,497 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i 5-Türer M Sport LED DAB PDC Sitzheizung","€ 25,650.-","23,999 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Lim. Tempomat Navi LED Sitzh bhz Lenkr 2-Z","€ 22,980.-","6,400 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i LED SHZ M Sport WLAN Tempomat Shz","€ 26,180.-","15,418 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i SportLine LCProf HiFi LED LenkradHZG SitzHZG Kom","€ 26,333.-","10,938 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport*M Sportsitze*Kamera*LC.Prof.*DAB*","€ 29,666.-","8,100 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
118i M Sport +LED-SW+PDC+SHZ+ALARM+DAB+TEMPO+1HD","€ 24,990.-","22,130 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klima Shz","€ 27,900.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport DAB LED WLAN Tempomat Klimaaut.","€ 25,430.-","19,950 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i M Sport LiveProf.HUD HiFi DrivAss.Sitzh.18""","€ 25,830.-","26,004 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage +Live CP Plus +LED +PDC+SHZ +LM18","€ 28,990.-","6,534 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage, Live Cockpit Prof., ad. LED, PDC","€ 27,700.-","8,100 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Paket 8-fach bereift, Pano-Dach, Garantie bis","€ 28,888.-","13,337 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage DAB LED WLAN Tempomat Klima Shz","€ 27,900.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M Sport DAB+Business+Comfortpaket","€ 25,734.-","17,855 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i *DAB *16"" *Klima *Lederlenkrad *Freispr. * Navi","€ 27,990.-",0 km,Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage Navi R-Kamera","€ 24,930.-","12,878 km",Manual,Gasoline,103 kW (140 hp)
